pipeline_id,feature_set_id,features,classifier_key,classifier_name,classifier_config_index,classifier_config,extractor_keys,extractor_config_indices,extractor_configs,train_time_sec,inference_time_sec,accuracy,precision,recall,f1,y_pred,y_true
1010,F12_full,word_tfidf_cos|char_tfidf_cos|jaccard_unigram|jaccard_bigram|len_features|embed_cos,random_forest,Random Forest,1,"{'n_estimators': 400, 'max_depth': 16, 'random_state': 42, 'n_jobs': -1}",word_tfidf_cos|char_tfidf_cos|jaccard_overlap|length_features|embed_cos,2|2|0|0|0,"{'analyzer': 'word', 'ngram_range': [1, 3], 'min_df': 2, 'max_df': 0.9, 'sublinear_tf': True}|{'analyzer': 'char_wb', 'ngram_range': [3, 5], 'min_df': 2, 'max_df': 0.95, 'sublinear_tf': True}|{'tokenizer': 'whitespace'}|{'out_prefix': 'len'}|{'embed_model': 'fasttext', 'vector_size': 100, 'window': 5, 'min_count': 3, 'sg': 1, 'negative': 10, 'epochs': 8, 'idf_min_df': 2}",93.0150152999995,1.8420274000091013,0.7760435990666765,0.6839291680588039,0.7314142790147167,0.7068751551253413,[0 1 0 ... 0 0 0],[1 0 0 ... 0 0 0]
945,F12_full,word_tfidf_cos|char_tfidf_cos|jaccard_unigram|jaccard_bigram|len_features|embed_cos,random_forest,Random Forest,1,"{'n_estimators': 400, 'max_depth': 16, 'random_state': 42, 'n_jobs': -1}",word_tfidf_cos|char_tfidf_cos|jaccard_overlap|length_features|embed_cos,2|0|0|0|1,"{'analyzer': 'word', 'ngram_range': [1, 3], 'min_df': 2, 'max_df': 0.9, 'sublinear_tf': True}|{'analyzer': 'char', 'ngram_range': [3, 5], 'min_df': 2, 'max_df': 0.95, 'sublinear_tf': False}|{'tokenizer': 'whitespace'}|{'out_prefix': 'len'}|{'embed_model': 'fasttext', 'vector_size': 200, 'window': 5, 'min_count': 3, 'sg': 1, 'negative': 10, 'epochs': 8, 'idf_min_df': 2}",58.07186390001152,1.5300932000100147,0.7758374763989545,0.6847755299258419,0.7279305031376315,0.7056938731327127,[0 1 0 ... 0 0 0],[1 0 0 ... 0 0 0]
932,F12_full,word_tfidf_cos|char_tfidf_cos|jaccard_unigram|jaccard_bigram|len_features|embed_cos,random_forest,Random Forest,1,"{'n_estimators': 400, 'max_depth': 16, 'random_state': 42, 'n_jobs': -1}",word_tfidf_cos|char_tfidf_cos|jaccard_overlap|length_features|embed_cos,2|0|0|0|0,"{'analyzer': 'word', 'ngram_range': [1, 3], 'min_df': 2, 'max_df': 0.9, 'sublinear_tf': True}|{'analyzer': 'char', 'ngram_range': [3, 5], 'min_df': 2, 'max_df': 0.95, 'sublinear_tf': False}|{'tokenizer': 'whitespace'}|{'out_prefix': 'len'}|{'embed_model': 'fasttext', 'vector_size': 100, 'window': 5, 'min_count': 3, 'sg': 1, 'negative': 10, 'epochs': 8, 'idf_min_df': 2}",55.80445920000784,1.1475680000003194,0.775466455597055,0.6839049136340768,0.728578128140423,0.7055350713104029,[0 1 0 ... 0 0 0],[1 0 0 ... 0 0 0]
1023,F12_full,word_tfidf_cos|char_tfidf_cos|jaccard_unigram|jaccard_bigram|len_features|embed_cos,random_forest,Random Forest,1,"{'n_estimators': 400, 'max_depth': 16, 'random_state': 42, 'n_jobs': -1}",word_tfidf_cos|char_tfidf_cos|jaccard_overlap|length_features|embed_cos,2|2|0|0|1,"{'analyzer': 'word', 'ngram_range': [1, 3], 'min_df': 2, 'max_df': 0.9, 'sublinear_tf': True}|{'analyzer': 'char_wb', 'ngram_range': [3, 5], 'min_df': 2, 'max_df': 0.95, 'sublinear_tf': True}|{'tokenizer': 'whitespace'}|{'out_prefix': 'len'}|{'embed_model': 'fasttext', 'vector_size': 200, 'window': 5, 'min_count': 3, 'sg': 1, 'negative': 10, 'epochs': 8, 'idf_min_df': 2}",128.41209140000865,1.9756953000032809,0.7751778838622441,0.6832422929616375,0.7290470979700306,0.7054019014693172,[0 1 0 ... 0 0 0],[1 0 0 ... 0 0 0]
1036,F12_full,word_tfidf_cos|char_tfidf_cos|jaccard_unigram|jaccard_bigram|len_features|embed_cos,random_forest,Random Forest,1,"{'n_estimators': 400, 'max_depth': 16, 'random_state': 42, 'n_jobs': -1}",word_tfidf_cos|char_tfidf_cos|jaccard_overlap|length_features|embed_cos,2|2|0|0|2,"{'analyzer': 'word', 'ngram_range': [1, 3], 'min_df': 2, 'max_df': 0.9, 'sublinear_tf': True}|{'analyzer': 'char_wb', 'ngram_range': [3, 5], 'min_df': 2, 'max_df': 0.95, 'sublinear_tf': True}|{'tokenizer': 'whitespace'}|{'out_prefix': 'len'}|{'embed_model': 'word2vec', 'vector_size': 100, 'window': 5, 'min_count': 3, 'sg': 1, 'negative': 10, 'epochs': 8, 'idf_min_df': 2}",145.48305580001033,3.81976549999672,0.7747656385268,0.6827649730997091,0.7283548091739431,0.7048234429701344,[0 1 0 ... 0 0 0],[1 0 0 ... 0 0 0]
971,F12_full,word_tfidf_cos|char_tfidf_cos|jaccard_unigram|jaccard_bigram|len_features|embed_cos,random_forest,Random Forest,1,"{'n_estimators': 400, 'max_depth': 16, 'random_state': 42, 'n_jobs': -1}",word_tfidf_cos|char_tfidf_cos|jaccard_overlap|length_features|embed_cos,2|1|0|0|0,"{'analyzer': 'word', 'ngram_range': [1, 3], 'min_df': 2, 'max_df': 0.9, 'sublinear_tf': True}|{'analyzer': 'char', 'ngram_range': [4, 6], 'min_df': 2, 'max_df': 0.95, 'sublinear_tf': True}|{'tokenizer': 'whitespace'}|{'out_prefix': 'len'}|{'embed_model': 'fasttext', 'vector_size': 100, 'window': 5, 'min_count': 3, 'sg': 1, 'negative': 10, 'epochs': 8, 'idf_min_df': 2}",51.085375299997395,1.105429199989885,0.7746419649261669,0.6833410399764597,0.7260546238192009,0.7040505863118117,[0 1 0 ... 0 0 0],[1 0 0 ... 0 0 0]
984,F12_full,word_tfidf_cos|char_tfidf_cos|jaccard_unigram|jaccard_bigram|len_features|embed_cos,random_forest,Random Forest,1,"{'n_estimators': 400, 'max_depth': 16, 'random_state': 42, 'n_jobs': -1}",word_tfidf_cos|char_tfidf_cos|jaccard_overlap|length_features|embed_cos,2|1|0|0|1,"{'analyzer': 'word', 'ngram_range': [1, 3], 'min_df': 2, 'max_df': 0.9, 'sublinear_tf': True}|{'analyzer': 'char', 'ngram_range': [4, 6], 'min_df': 2, 'max_df': 0.95, 'sublinear_tf': True}|{'tokenizer': 'whitespace'}|{'out_prefix': 'len'}|{'embed_model': 'fasttext', 'vector_size': 200, 'window': 5, 'min_count': 3, 'sg': 1, 'negative': 10, 'epochs': 8, 'idf_min_df': 2}",50.86806750000687,1.0423520000040298,0.7743946177249005,0.6828566628869011,0.7262109470957369,0.7038668412679516,[0 1 0 ... 0 0 0],[1 0 0 ... 0 0 0]
958,F12_full,word_tfidf_cos|char_tfidf_cos|jaccard_unigram|jaccard_bigram|len_features|embed_cos,random_forest,Random Forest,1,"{'n_estimators': 400, 'max_depth': 16, 'random_state': 42, 'n_jobs': -1}",word_tfidf_cos|char_tfidf_cos|jaccard_overlap|length_features|embed_cos,2|0|0|0|2,"{'analyzer': 'word', 'ngram_range': [1, 3], 'min_df': 2, 'max_df': 0.9, 'sublinear_tf': True}|{'analyzer': 'char', 'ngram_range': [3, 5], 'min_df': 2, 'max_df': 0.95, 'sublinear_tf': False}|{'tokenizer': 'whitespace'}|{'out_prefix': 'len'}|{'embed_model': 'word2vec', 'vector_size': 100, 'window': 5, 'min_count': 3, 'sg': 1, 'negative': 10, 'epochs': 8, 'idf_min_df': 2}",66.63663809999707,1.3582000000023982,0.7743781279114826,0.6831664422753282,0.7252283436432256,0.7035693007636895,[0 1 0 ... 0 0 0],[1 0 0 ... 0 0 0]
997,F12_full,word_tfidf_cos|char_tfidf_cos|jaccard_unigram|jaccard_bigram|len_features|embed_cos,random_forest,Random Forest,1,"{'n_estimators': 400, 'max_depth': 16, 'random_state': 42, 'n_jobs': -1}",word_tfidf_cos|char_tfidf_cos|jaccard_overlap|length_features|embed_cos,2|1|0|0|2,"{'analyzer': 'word', 'ngram_range': [1, 3], 'min_df': 2, 'max_df': 0.9, 'sublinear_tf': True}|{'analyzer': 'char', 'ngram_range': [4, 6], 'min_df': 2, 'max_df': 0.95, 'sublinear_tf': True}|{'tokenizer': 'whitespace'}|{'out_prefix': 'len'}|{'embed_model': 'word2vec', 'vector_size': 100, 'window': 5, 'min_count': 3, 'sg': 1, 'negative': 10, 'epochs': 8, 'idf_min_df': 2}",51.07902950000425,1.1155589999980293,0.7732815553192015,0.6814887941355626,0.7245583867437861,0.7023639433692688,[0 1 0 ... 0 0 0],[1 0 0 ... 0 0 0]
776,F12_full,word_tfidf_cos|char_tfidf_cos|jaccard_unigram|jaccard_bigram|len_features|embed_cos,random_forest,Random Forest,1,"{'n_estimators': 400, 'max_depth': 16, 'random_state': 42, 'n_jobs': -1}",word_tfidf_cos|char_tfidf_cos|jaccard_overlap|length_features|embed_cos,0|2|0|0|0,"{'analyzer': 'word', 'ngram_range': [1, 2], 'min_df': 2, 'max_df': 0.95, 'sublinear_tf': False}|{'analyzer': 'char_wb', 'ngram_range': [3, 5], 'min_df': 2, 'max_df': 0.95, 'sublinear_tf': True}|{'tokenizer': 'whitespace'}|{'out_prefix': 'len'}|{'embed_model': 'fasttext', 'vector_size': 100, 'window': 5, 'min_count': 3, 'sg': 1, 'negative': 10, 'epochs': 8, 'idf_min_df': 2}",52.567739999998594,1.2192391000135103,0.7676667738504539,0.6694430834558223,0.732307554880636,0.6994656740931924,[0 1 0 ... 0 0 0],[1 0 0 ... 0 0 0]
